ID,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
140,41,PAYMENT,27780.73,C1539487194,0,0,M1984215546,0,0,0
141,328,TRANSFER,474467.2,C1221668517,474467.2,0,C2134508873,0,0,1
142,128,TRANSFER,3062506.58,C1883146038,3062506.58,0,C1829816934,0,0,1
143,737,TRANSFER,2194533.79,C871130115,2194533.79,0,C1027984317,0,0,1
144,681,CASH_IN,177678.44,C773148567,10954,188632.44,C54066914,5324865.71,5147187.26,0
145,383,CASH_OUT,4961093.21,C1283767836,4961093.21,0,C1198859415,0,4961093.21,1
146,278,PAYMENT,12922.65,C321366646,0,0,M1013959018,0,0,0
147,269,CASH_OUT,676882.33,C99220125,676882.33,0,C1618535858,0,676882.33,1
148,278,PAYMENT,57181.88,C1090972626,0,0,M268013041,0,0,0
149,59,TRANSFER,1367340.03,C453950944,1367340.03,0,C1875884022,0,0,1
150,372,PAYMENT,10055.41,C556402472,3284,0,M849657531,0,0,0
151,40,CASH_OUT,61092.92,C1373576295,154647,93554.08,C839515393,1975.65,63068.57,0
152,228,CASH_OUT,304239.63,C1419031928,0,0,C1020615836,1354030,1658269.63,0
153,186,CASH_OUT,345802.34,C338054971,345802.34,0,C119399934,0,345802.34,1
154,448,TRANSFER,14133.69,C1634310470,14133.69,0,C826378920,0,0,1
155,278,PAYMENT,43442.4,C392221567,0,0,M990132293,0,0,0
156,280,CASH_IN,38396.33,C323353468,82032,120428.33,C641210276,973627.01,935230.68,0
157,304,TRANSFER,28853.34,C1523566546,0,0,C134449702,447919.17,476772.51,0
158,308,CASH_IN,107471.85,C2062174298,18522,125993.85,C1045071648,0,0,0
159,714,TRANSFER,10000000,C131412689,10390763.24,390763.24,C1846567377,0,0,1
160,155,CASH_OUT,181394.52,C899026521,241027.52,59633,C2054387349,3133584.98,3314979.49,0
161,358,PAYMENT,28951.98,C209428987,20453,0,M2114726379,0,0,0
162,545,CASH_IN,56598.54,C2039185284,247,56845.54,C315893167,335905.87,279307.34,0
163,396,CASH_OUT,407987.06,C949382319,205390,0,C721456162,0,407987.06,0
164,331,CASH_IN,401414.59,C1369827264,173,401587.59,C854869893,100530.59,0,0
165,624,CASH_OUT,2626957.79,C1966432997,2626957.79,0,C966982427,882527.7,3509485.49,1
166,299,CASH_OUT,93874.59,C1739383524,73657.43,0,C853535523,291552.01,385426.6,0
167,724,TRANSFER,506923.53,C1371968077,506923.53,0,C297875809,0,0,1
168,347,PAYMENT,18745.06,C1679630474,0,0,M1132128402,0,0,0
169,322,PAYMENT,35873.42,C817995192,30984,0,M74160794,0,0,0
170,330,CASH_OUT,219417.34,C724726841,92066.34,0,C1148028357,268932.76,488350.1,0
171,212,CASH_OUT,98528.52,C888618016,0,0,C251927313,453503.96,552032.48,0
172,546,CASH_OUT,105097.16,C1066191297,105097.16,0,C1432077169,1965333.76,2070430.91,1
173,129,TRANSFER,1247852.99,C257485370,0,0,C794374813,3702310.13,4950163.13,0
174,300,PAYMENT,15667.22,C2026904558,251743.74,236076.52,M1520358441,0,0,0
175,11,CASH_IN,239214.65,C463987322,5082843.84,5322058.49,C509689894,1236099.74,996885.09,0
176,302,CASH_OUT,45332.23,C532778170,0,0,C832240455,242845.04,288177.27,0
177,522,CASH_OUT,150469.52,C204266296,240,0,C1272222137,389355.89,539825.42,0
178,231,TRANSFER,317787.12,C1356517693,317787.12,0,C284348292,0,372227.52,1
179,349,PAYMENT,48842.9,C1053568547,58154,9311.1,M861288354,0,0,0
180,399,CASH_IN,42405.17,C1440470433,3797614.68,3840019.85,C851303959,189081.8,146676.63,0
181,358,CASH_OUT,1438737.78,C498447652,1438737.78,0,C17820769,7014552.73,8453290.51,1
182,95,CASH_OUT,56745.14,C526144262,56745.14,0,C79051264,51433.88,108179.02,1
183,734,CASH_OUT,1810044.85,C491326843,1810044.85,0,C1833702412,1005720.69,2815765.54,1
184,135,TRANSFER,1577194.44,C591381404,22010,0,C1033404095,3527878.28,5105072.72,0
185,161,PAYMENT,35125.98,C1578644122,0,0,M180443834,0,0,0
186,2,CASH_OUT,963532.14,C430329518,963532.14,0,C991505714,132382.57,1095914.71,1
187,591,TRANSFER,906270.63,C1366387168,906270.63,0,C82363248,0,0,1
188,308,PAYMENT,12119.65,C107085308,128040.62,115920.97,M886659727,0,0,0
189,328,PAYMENT,35128.24,C1664573918,163,0,M1815902657,0,0,0
190,180,CASH_OUT,173309.11,C563001075,173309.11,0,C811338954,0,173309.11,1
191,249,CASH_OUT,369448.2,C2020495090,369448.2,0,C650699445,0,369448.2,1
192,614,TRANSFER,1760546.42,C1088953639,1760546.42,0,C290813030,0,0,1
193,305,CASH_IN,139717.51,C1706940723,873952.48,1013669.99,C202152586,664631.36,524913.85,0
194,201,PAYMENT,17935.75,C970311545,0,0,M956228111,0,0,0
195,32,CASH_OUT,401575.19,C1684571589,401575.19,0,C1619036760,0,401575.19,1
196,374,TRANSFER,54725.54,C65923557,54725.54,0,C246666772,0,0,1
197,137,TRANSFER,37889.49,C1781228155,9971,0,C2110390396,0,37889.49,0
198,305,CASH_OUT,231691.12,C110858372,205444,0,C2008389984,588980.22,820671.34,0
199,101,CASH_OUT,2388251.16,C731376303,2388251.16,0,C1868096235,2624386.6,5012637.76,1
200,145,TRANSFER,34301.19,C1481292260,34301.19,0,C1130721375,0,0,1
201,140,CASH_IN,123615.64,C725472225,8647568.6,8771184.23,C703678816,677557.26,553941.63,0
202,42,TRANSFER,1917497.63,C373557981,1917497.63,0,C114416170,0,0,1
203,149,CASH_OUT,172510.95,C1961658311,172510.95,0,C430727809,590592.52,763103.47,1
204,296,TRANSFER,282272.93,C922219750,282272.93,0,C1107412386,0,0,1
205,380,TRANSFER,330218.85,C94784819,330218.85,0,C597468231,0,0,1
206,333,CASH_OUT,613386.47,C86115030,613386.47,0,C387748036,11220969.14,11834355.61,1
207,224,TRANSFER,99316.36,C1707526700,99316.36,0,C1178212988,0,0,1
208,130,CASH_OUT,204068.83,C431071436,51573,0,C673943232,87909.02,291977.85,0
209,285,CASH_OUT,752639.78,C1541138179,752639.78,0,C810413951,290612.69,1043252.47,1
210,307,CASH_OUT,441423.44,C479817904,441423.44,0,C2038026076,671179.67,1112603.11,1
211,100,TRANSFER,54994.1,C126342805,54994.1,0,C169029118,0,0,1
212,42,CASH_OUT,450384.05,C1983202167,0,0,C926670562,524125.46,974509.51,0
213,232,PAYMENT,9017.93,C1774087919,271566.73,262548.8,M1868175665,0,0,0
214,10,PAYMENT,12379.78,C1060512613,649533.81,637154.03,M2042004598,0,0,0
215,328,CASH_OUT,91118.76,C339110217,0,0,C872812914,129378.58,220497.34,0
216,242,CASH_OUT,3210027.48,C1663597987,3210027.48,0,C1844870771,0,3210027.48,1
217,295,CASH_OUT,4531343.47,C1462947577,4531343.47,0,C1069720,0,4531343.47,1
218,127,TRANSFER,701707.89,C1264740364,701707.89,0,C1367862566,0,0,1
219,354,CASH_OUT,323770.51,C1591750271,0,0,C1450925921,1034059.43,1357829.94,0
220,206,CASH_IN,168395.61,C1025997801,490846,659241.61,C1420197587,11393.55,0,0
221,190,PAYMENT,18310.96,C2009856,13264.42,0,M1832904872,0,0,0
222,720,TRANSFER,71439.81,C170506678,71439.81,0,C1141419100,0,0,1
223,33,TRANSFER,6648389.9,C67311634,6648389.9,0,C674603923,0,0,1
224,330,TRANSFER,61756.82,C1415217064,61756.82,0,C2101562170,0,0,1
225,236,CASH_IN,86589.85,C1243638272,6112023.15,6198612.99,C974592605,6416250.43,6329660.59,0
226,136,PAYMENT,24485.11,C841502031,49906,25420.89,M784293264,0,0,0
227,210,CASH_OUT,59518.61,C222879683,796764.91,737246.3,C139435113,314984.88,374503.49,0
228,312,PAYMENT,10780.56,C808159326,0,0,M477756654,0,0,0
229,396,PAYMENT,9160.14,C2013160789,11273,2112.86,M354072096,0,0,0
230,107,CASH_OUT,570649.33,C976192518,570649.33,0,C582209368,0,570649.33,1
231,210,PAYMENT,5909.28,C37827829,0,0,M1094218727,0,0,0
232,136,CASH_OUT,36455.77,C50602886,10381,0,C1412959226,0,36455.77,0
233,19,CASH_OUT,75356.56,C1738314860,0,0,C755143357,898937.05,974293.61,0
234,187,PAYMENT,11751.61,C1475422469,130854,119102.39,M435186532,0,0,0
235,643,TRANSFER,352179.76,C964511313,352179.76,0,C2000898325,0,0,1
236,180,CASH_OUT,88407.24,C126959946,0,0,C1457547668,1496814.94,1585222.18,0
237,278,PAYMENT,13245.68,C792665097,23868,10622.32,M147569485,0,0,0
238,165,CASH_OUT,94082.7,C1971693034,0,0,C788515295,1109711.84,1203794.54,0
239,138,CASH_IN,261153.72,C1633475421,1413912.33,1675066.05,C379098088,349421.74,88268.02,0
240,140,PAYMENT,6909.06,C1840445394,0,0,M2057278043,0,0,0
241,132,TRANSFER,3735525,C808515301,3735525,0,C1111269172,0,0,1
242,225,PAYMENT,57.93,C1949545649,31197,31139.07,M1839827964,0,0,0
243,22,PAYMENT,9824.89,C1519199932,0,0,M1957050449,0,0,0
244,307,CASH_IN,184584.5,C1223888404,1158,185742.5,C763885702,205337.72,20753.23,0
245,131,PAYMENT,7145.97,C861139366,125209.45,118063.48,M637939485,0,0,0
246,11,PAYMENT,668.06,C1549112764,0,0,M2139125294,0,0,0
247,580,TRANSFER,628697.26,C579184994,628697.26,0,C855476478,0,0,1
248,372,CASH_IN,278708.09,C1366153414,42180,320888.09,C850620284,0,0,0
249,256,CASH_OUT,142501.52,C800361361,0,0,C707240698,883170.09,1025671.61,0
250,16,PAYMENT,12709.29,C1805839418,494343.02,481633.73,M1134180815,0,0,0
251,692,PAYMENT,21049.5,C231660530,21509,459.5,M877524948,0,0,0
252,196,CASH_OUT,288148.22,C1539629881,288148.22,0,C920916112,257719.2,545867.42,1
253,137,CASH_OUT,160803.9,C1341754255,0,0,C1604634236,176667.6,337471.49,0
254,232,PAYMENT,4516.9,C699090048,0,0,M165218373,0,0,0
255,142,CASH_IN,294789.38,C108121780,7088955.35,7383744.72,C167663961,1407343.17,1112553.79,0
256,235,TRANSFER,689919.9,C2083760290,10478,0,C379197729,983908.16,1673828.06,0
257,621,TRANSFER,3582885.46,C541955381,3582885.46,0,C212885805,0,0,1
258,222,CASH_OUT,211628.75,C1710697792,211628.75,0,C408442101,23970.72,235599.46,1
259,601,TRANSFER,93253.25,C276457586,93253.25,0,C871887337,0,0,1
260,324,TRANSFER,21580.37,C765450059,21580.37,0,C125935569,0,0,1
261,207,CASH_OUT,633250.06,C473263670,19024,0,C145719235,1754239.88,2387489.94,0
262,51,CASH_OUT,1170282.92,C555990868,1170282.92,0,C1318550066,173264.14,1343547.06,1
263,674,CASH_OUT,64083.54,C1268763135,64083.54,0,C1346372466,0,64083.54,1
264,93,TRANSFER,3723738.06,C1553979696,3723738.06,0,C537828065,0,0,1
265,197,TRANSFER,1961426.59,C311903861,1961426.59,0,C316708626,0,0,1
266,27,TRANSFER,494244.61,C1529468267,494244.61,0,C1924171481,0,0,1
267,300,CASH_IN,4439.22,C1406731997,29146,33585.22,C2082300558,54946.22,50507,0
268,141,TRANSFER,724538.23,C913749952,0,0,C1059584393,1152650.12,2260498.15,0
269,38,CASH_OUT,455828.27,C919835643,0,0,C1106170428,751510.41,1207338.68,0
270,101,TRANSFER,891944.51,C1150010764,891944.51,0,C21652868,0,0,1
271,139,CASH_OUT,138188.17,C1617835107,80457,0,C669904384,0,138188.17,0
272,739,TRANSFER,156691.56,C671228809,156691.56,0,C1102996671,0,0,1
273,319,CASH_OUT,88424.06,C871094830,88424.06,0,C697909635,1058979.19,1147403.25,1
274,404,PAYMENT,19528.78,C1060906434,19885,356.22,M490252302,0,0,0
275,214,CASH_OUT,106434.23,C1639510217,106434.23,0,C1867808615,0,163775.04,1
276,406,CASH_OUT,669627.43,C390395645,669627.43,0,C725115961,0,669627.43,1
277,439,CASH_OUT,112656.24,C567378649,112656.24,0,C1804497744,0,112656.24,1
278,186,CASH_IN,221680.16,C1920911920,1589450.89,1811131.06,C1096926348,652486.96,430806.79,0
279,45,CASH_IN,3736.36,C1759800955,563014.41,566750.77,C1345551237,20436,0,0
280,19,CASH_OUT,122101.57,C149845822,0,0,C1200316948,0,639940.2,1
281,717,TRANSFER,2624422.62,C637096336,2624422.62,0,C1127132914,0,0,1
282,11,CASH_OUT,12461,C938980312,12461,0,C621014131,27964.11,40425.11,1
283,506,CASH_OUT,1048100,C858739147,1048100,0,C1868986147,3311018.47,4359118.47,1
284,402,CASH_IN,79213.45,C1571290900,5152442.38,5231655.82,C1777787601,742660.31,663446.86,0
285,262,CASH_OUT,340936.99,C56193098,340936.99,0,C119224307,777058.51,1117995.5,1
286,351,CASH_IN,79373.15,C1588842681,5209619.07,5288992.22,C528288210,435821.49,356448.35,0
287,718,CASH_OUT,168408.03,C399877168,10336,0,C900310261,0,168408.03,0
288,564,CASH_IN,270680.77,C1316278175,10290,280970.77,C1927108205,499667.8,228987.02,0
289,160,TRANSFER,256705.68,C962450896,256705.68,0,C344604572,0,0,1
290,122,TRANSFER,2658595.89,C185905309,2658595.89,0,C1791646487,0,0,1
291,490,CASH_OUT,1927403.83,C630013429,1927403.83,0,C1658435128,0,1927403.83,1
292,283,CASH_OUT,74659.16,C592587083,750,0,C1723093326,0,74659.16,0
293,322,TRANSFER,2230264.49,C1367703741,30168,0,C596264442,0,2230264.49,0
294,274,TRANSFER,2274566.61,C1462703827,2274566.61,0,C961774996,0,0,1
295,605,CASH_OUT,1555182.41,C610159138,1555182.41,0,C1751345870,76405.76,1631588.17,1
296,274,TRANSFER,379057.93,C1259154516,379057.93,0,C605861761,0,0,1
297,370,TRANSFER,563149.41,C1064157081,563149.41,0,C755322456,0,0,1
298,249,CASH_OUT,128611.36,C1599484018,0,0,C609610072,939329.62,1067940.98,0
299,421,CASH_OUT,5455965.86,C925348777,5455965.86,0,C1734033789,0,5455965.86,1
300,164,CASH_OUT,1191399.72,C146466047,1191399.72,0,C213105039,2447080.16,3638479.89,1
301,181,CASH_OUT,285774.62,C2031826235,0,0,C1263709022,795649.06,1081423.67,0
302,279,CASH_IN,31405.01,C1177667321,280225.21,311630.22,C978209602,153147.54,121742.53,0
303,542,PAYMENT,26431.24,C1750695010,0,0,M625256824,0,0,0
304,387,CASH_OUT,10000000,C99029817,10000000,0,C428927923,0,10000000,1
305,39,CASH_OUT,202471.26,C1513969749,20549,0,C1788216747,0,202471.26,0
306,323,CASH_IN,130801.18,C575601799,11233,142034.18,C851670524,0,0,0
307,35,CASH_OUT,178615.64,C114873050,21518,0,C775590926,0,180399.09,0
308,137,PAYMENT,31624.77,C1255267263,0,0,M1972048591,0,0,0
309,16,CASH_OUT,126657.18,C744261742,22318,0,C1494277644,0,126657.18,0
310,692,CASH_OUT,260058.8,C1860625647,16769,0,C1546651916,87425.08,347483.87,0
311,635,CASH_OUT,580010.03,C764461588,580010.03,0,C229248681,41887.5,621897.52,1
312,117,TRANSFER,4032691.34,C802639228,4032691.34,0,C593736656,0,0,1
313,19,CASH_OUT,96540.27,C1842734828,483072,386531.73,C119303819,132044.94,228585.21,0
314,204,PAYMENT,14130.95,C683609574,284,0,M1759301972,0,0,0
315,259,CASH_IN,284807.8,C963552336,262,285069.8,C780867344,906443.89,621636.08,0
